"Sample","Traverse","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","PERCENTDIST","ABSDIST","Drift.nm.s.","Species","Macaca"
"MacacaA","BuccalBase",319.990283,15124.9997,145.72611,3292498.71,396.621883,397.83323,71.155651,71.12204023,4.593775,1.328583,212.248622,1.788068,-59.633003,2.846,6.666666667,20,-0.048127,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",314.779299,14765.66357,139.335606,3195379.093,392.503412,394.258249,69.061458,68.89468138,4.620943,1.7894,210.881797,1.730425,-59.613003,2.846,0,0,-0.073847,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",332.401111,8148.660668,101.908264,3529331.07,391.619142,392.371669,48.061579,47.0289944,2.30884,0.045405,207.117832,2.31681,-59.528503,5.0755,100,679.814129,-0.275975,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",338.340455,9347.392167,121.686136,3645420.863,395.720903,395.952146,56.467959,55.68084769,2.564146,0.113923,226.589756,2.204792,-59.490503,5.062,94.06801923,639.4876856,0.03074,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",340.569093,8176.457688,119.05716,3689440.663,391.886192,392.076648,54.917414,54.07500379,2.216178,0.115481,239.524153,2.221312,-59.472003,5.0555,91.18360358,619.8790205,0.065782,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",350.696254,10280.84179,149.805666,3892624.649,402.071351,402.167146,67.273156,66.9995063,2.641108,1.727,278.377734,1.803778,-59.452503,5.049,88.16037796,599.3267056,-0.00504,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",334.40998,11729.76124,146.221735,3568397.044,393.226792,394.574229,68.582005,68.38595826,3.287123,0.700541,239.828761,1.929038,-59.434003,5.0425,85.2759615,579.7180349,-0.004661,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",330.613643,13627.48915,146.551169,3494741.875,399.040048,400.354587,69.457087,69.31480416,3.899427,3.017032,245.219644,1.668334,-59.415503,5.0355,82.36721576,559.9439704,-0.029271,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",329.762289,12977.56569,155.571956,3478324.063,392.626767,392.326099,73.906242,74.06074887,3.730982,0.968715,235.511913,1.879851,-59.377503,5.0225,76.45955934,519.7828874,-0.033039,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",338.443421,13871.41091,165.610775,3647449.126,401.228331,401.262753,76.82964,77.20064875,3.803044,2.711841,257.322035,1.718508,-59.339503,5.009,70.52758138,479.4564631,0.020067,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",339.535178,11976.87942,167.366198,3668987.75,392.374703,393.205869,77.415772,77.83225508,3.264355,0.647064,251.301032,1.982993,-59.321003,5.0025,67.64316617,459.8478009,0.426046,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",343.076808,11897.71671,154.953005,3739272.195,404.298616,400.663865,70.997211,70.95322205,3.181827,1.15368,257.685049,1.862122,-59.302003,4.996,64.68933922,439.767268,-0.021445,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",330.06486,14203.61187,169.113408,3484154.75,393.299374,393.05637,80.272012,80.92002879,4.076631,1.744105,242.270837,1.795308,-59.282503,4.99,61.69055242,419.3810916,-0.019869,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",331.133846,13941.99997,173.827357,3504791.66,390.512232,391.288359,82.266278,83.08577988,3.977983,1.078128,239.999905,1.886248,-59.264503,4.9825,58.82678602,399.912803,-0.049965,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",329.937111,13937.67186,165.775738,3481692.403,392.381655,392.993708,78.715562,79.23536121,4.003131,2.43129,246.997636,1.736488,-59.245003,4.976,55.80353521,379.3603168,-0.03813,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",326.269789,14870.56017,175.732112,3411356.458,391.386276,389.735254,84.298997,85.30165862,4.359134,2.196926,240.60658,1.762321,-59.226503,4.97,52.94349386,359.9173516,-0.045238,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",330.812944,14482.80175,186.050112,3498590.541,388.699437,389.195608,88.128871,89.49975006,4.13961,1.830557,248.034894,1.81339,-59.207503,4.963,49.96529934,339.6711645,-0.023847,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",326.78989,15274.66165,178.428918,3421290.209,390.247524,390.994709,85.468309,86.58017873,4.464591,2.774766,243.366025,1.724505,-59.189003,4.956,47.05657554,319.8972491,-0.048077,"Macaca mulatta","Macaca"
"MacacaA","BuccalWall",327.799677,15041.60396,174.698563,3440615.784,391.522511,392.374925,83.446105,84.37088436,4.371777,2.570429,243.160171,1.733033,-59.170003,4.9495,44.10273306,299.8166106,-0.044791,"Macaca mulatta","Macaca"
